Date,Open,High,Low,Close
6/25/08,891.98,892.19,884.72,888.35
6/26/08,922.61,925.65,922.61,926.16
6/27/08,922.79,937.44,920.36,939.16
6/30/08,947.31,953.44,941.80,945.78
7/1/08,964.73,966.98,959.00,963.60
7/2/08,950.30,956.37,944.53,956.37
7/3/08,962.02,962.02,944.91,948.89
7/7/08,946.93,946.93,930.66,942.76
7/8/08,940.10,940.10,936.43,939.18
7/9/08,930.22,938.71,930.22,937.80
7/10/08,936.72,950.85,936.72,949.64
7/11/08,957.20,974.86,957.20,968.60
7/14/08,971.01,980.98,961.25,979.06
7/15/08,984.58,987.29,977.07,978.78
7/16/08,961.54,961.54,961.54,963.34
7/17/08,962.50,981.50,962.50,975.27
7/18/08,962.29,962.49,962.29,962.79
7/21/08,964.11,964.11,963.11,962.71
7/22/08,980.65,982.56,980.65,955.45
7/23/08,945.21,945.21,934.29,932.47
7/24/08,935.40,940.99,935.40,936.52
7/25/08,946.67,947.49,939.33,944.84
7/28/08,949.89,952.24,948.05,948.66
7/29/08,937.96,939.50,937.96,938.17
7/30/08,939.03,940.26,913.86,923.68
7/31/08,928.25,947.39,927.43,935.41
8/1/08,929.44,940.94,926.56,933.65
8/4/08,946.49,949.19,927.51,933.42
8/5/08,933.68,933.68,910.64,916.16
8/6/08,923.36,928.50,917.38,918.01
8/7/08,928.92,930.61,916.39,916.82
8/8/08,926.72,927.47,907.84,914.99
8/11/08,917.67,923.13,874.59,878.33
8/12/08,879.99,879.99,855.71,860.61
8/13/08,861.65,880.99,861.65,876.63
8/14/08,885.03,885.57,856.93,860.34
8/15/08,844.08,846.52,827.14,832.54
8/18/08,843.09,853.42,843.09,851.29
8/19/08,837.51,863.92,837.51,860.31
8/20/08,864.16,864.16,853.34,859.28
8/21/08,862.18,872.42,862.18,869.70
8/22/08,871.61,876.11,861.98,866.48
8/25/08,862.04,862.04,862.04,862.04
8/26/08,866.01,866.01,866.01,862.03
8/27/08,869.61,869.61,864.37,867.30
8/28/08,870.20,885.55,866.53,873.25
8/29/08,884.69,886.08,884.69,882.14
9/2/08,885.79,897.32,844.06,859.22
9/3/08,855.29,855.29,840.43,852.21
9/4/08,858.49,866.74,851.53,854.74
9/5/08,844.17,859.36,843.42,847.25
9/8/08,864.24,866.58,848.68,849.85
9/9/08,859.68,859.68,836.10,843.71
9/10/08,833.53,838.25,807.99,813.46
9/11/08,812.24,812.24,793.34,795.81
9/12/08,795.61,801.44,795.61,806.00
9/15/08,831.75,832.28,816.68,837.09
9/16/08,832.03,832.03,831.28,830.75
9/17/08,840.11,867.05,840.11,908.47
9/18/08,921.11,964.53,885.22,945.26
9/19/08,900.87,900.87,900.87,900.87
9/22/08,920.85,940.84,920.85,936.49
9/23/08,926.01,932.76,919.37,918.85
9/24/08,913.58,925.83,913.58,923.44
9/25/08,921.16,921.16,913.93,906.90
9/26/08,913.90,920.10,913.90,912.56
9/29/08,911.02,960.90,905.90,928.69
9/30/08,962.35,970.54,909.38,929.80
10/1/08,933.15,944.95,923.80,936.02
10/2/08,939.65,939.65,895.28,905.75
10/3/08,901.46,914.24,891.17,897.56
10/6/08,914.79,958.94,911.70,952.21
10/7/08,951.44,974.51,947.14,969.43
10/8/08,991.55,1031.90,989.29,1017.92
10/9/08,1036.51,1056.03,1013.89,1014.01
10/10/08,1086.12,1086.12,989.09,1003.64
10/13/08,986.37,986.37,951.09,960.94
10/14/08,985.82,985.82,968.85,972.10
10/15/08,1000.12,1011.08,990.71,995.35
10/16/08,994.71,994.71,928.87,942.39
10/17/08,943.49,954.13,914.87,928.23
10/20/08,957.70,957.70,938.28,938.40
10/21/08,963.35,963.35,931.79,929.85
10/22/08,967.53,967.53,903.96,919.38
10/23/08,877.96,896.39,877.96,888.29
10/24/08,913.89,938.04,870.07,931.52
10/27/08,962.92,965.13,923.00,961.50
10/28/08,929.67,952.31,929.16,940.23
10/29/08,918.52,918.52,918.52,920.97
10/30/08,913.62,929.84,887.91,885.63
10/31/08,886.87,892.45,871.10,869.16
11/3/08,861.26,864.45,861.14,857.24
11/4/08,835.35,874.47,835.35,869.87
11/5/08,883.57,883.57,862.11,864.79
11/6/08,886.79,905.40,873.08,872.24
11/7/08,870.00,883.68,864.89,872.03
11/10/08,897.44,902.95,896.12,893.36
11/11/08,885.00,886.69,879.70,882.35
11/12/08,902.06,907.37,892.31,886.38
11/13/08,866.13,867.59,857.28,854.74
11/14/08,892.40,917.70,892.40,911.93
11/17/08,909.08,909.08,909.08,909.08
11/18/08,907.53,916.01,902.61,900.89
11/19/08,922.77,951.35,921.51,922.64
11/20/08,958.33,970.62,957.03,968.81
11/21/08,985.06,1001.40,984.93,1011.11
11/24/08,1007.87,1012.91,1007.87,1007.25
11/25/08,1002.57,1002.57,1002.57,1002.57
11/26/08,1005.89,1009.46,990.79,992.88
11/28/08,1002.22,1011.99,998.64,1008.53
12/1/08,1016.92,1017.05,953.21,963.91
12/2/08,958.42,984.35,951.41,978.46
12/3/08,977.08,979.46,955.66,963.05
12/4/08,983.52,996.81,972.92,975.60
12/5/08,970.92,977.39,939.80,953.14
12/8/08,947.18,978.80,946.18,962.74
12/9/08,980.52,982.41,964.45,977.23
12/10/08,987.28,1021.15,986.02,1016.24
12/11/08,992.46,1027.92,989.50,1019.02
12/12/08,1026.75,1033.62,1017.12,1023.50
12/15/08,1020.46,1037.71,1015.53,1029.58
12/16/08,1010.84,1034.94,1001.93,1014.10
12/17/08,1022.38,1053.97,1021.30,1038.05
12/18/08,1039.91,1052.70,1027.37,1036.54
12/19/08,1036.48,1043.22,1020.20,1024.00
12/22/08,1034.76,1037.80,1029.27,1031.95
12/23/08,1031.88,1031.88,1016.06,1018.74
12/24/08,1018.58,1030.72,1018.09,1028.53
12/26/08,1035.07,1066.11,1033.61,1063.67
12/29/08,1075.53,1075.53,1065.90,1065.42
12/30/08,1071.51,1071.51,1057.35,1060.77
12/31/08,1046.48,1073.86,1044.54,1075.20
1/2/09,1071.08,1071.08,1055.77,1067.80
1/5/09,1048.00,1049.79,1006.42,1018.54
1/6/09,1013.27,1028.08,995.38,1025.48
1/7/09,1030.98,1036.96,1001.91,1005.98
1/8/09,988.67,1015.93,988.67,1007.55
1/9/09,1017.35,1024.72,1017.35,1015.45
1/12/09,1026.88,1026.88,991.61,997.57
1/13/09,1011.15,1011.15,999.02,1004.41
1/14/09,1030.31,1031.81,1015.47,1008.23
1/15/09,1008.77,1012.77,1008.77,1010.14
1/16/09,1041.07,1051.68,1041.07,1047.68
1/20/09,1062.05,1092.44,1043.43,1082.18
1/21/09,1067.53,1068.16,1060.00,1066.40
1/22/09,1073.82,1078.96,1060.53,1075.57
1/23/09,1077.32,1106.99,1077.32,1102.31
1/26/09,1109.85,1115.11,1102.39,1111.31
1/27/09,1107.59,1107.84,1098.27,1103.18
1/28/09,1077.06,1087.40,1074.15,1079.49
1/29/09,1086.76,1113.19,1069.75,1107.56
1/30/09,1116.18,1141.33,1106.61,1137.65
2/2/09,1154.32,1154.32,1121.02,1126.62
2/3/09,1111.63,1124.06,1095.14,1097.85
2/4/09,1109.45,1120.67,1105.63,1111.30
2/5/09,1116.13,1138.42,1113.79,1125.12
2/6/09,1120.02,1124.92,1113.90,1119.29
2/9/09,1106.11,1107.33,1083.99,1084.72
2/10/09,1118.45,1142.73,1110.97,1138.00
2/11/09,1134.61,1176.21,1132.75,1171.99
2/12/09,1167.23,1184.63,1164.24,1179.29
2/13/09,1169.51,1169.51,1153.33,1162.35
2/17/09,1188.49,1231.88,1185.71,1223.28
2/18/09,1220.42,1245.12,1212.60,1232.14
2/19/09,1237.66,1242.07,1224.18,1229.35
2/20/09,1218.26,1256.91,1215.26,1253.03
2/23/09,1244.81,1245.94,1225.31,1243.56
2/24/09,1227.94,1232.41,1197.12,1204.45
2/25/09,1210.63,1228.48,1197.81,1213.65
2/26/09,1193.49,1197.24,1168.44,1179.46
2/27/09,1201.32,1226.54,1182.99,1198.90
3/2/09,1219.98,1233.93,1193.52,1212.24
3/3/09,1198.29,1204.50,1171.66,1180.07
3/4/09,1165.92,1176.50,1147.06,1154.58
3/5/09,1176.32,1202.89,1172.32,1195.67
3/6/09,1202.03,1216.20,1199.85,1213.11
3/9/09,1223.34,1223.34,1189.52,1193.68
3/10/09,1180.78,1181.04,1142.99,1147.47
3/11/09,1149.85,1172.60,1149.08,1170.03
3/12/09,1161.92,1185.30,1160.38,1180.45
3/13/09,1175.93,1191.96,1175.93,1182.80
3/16/09,1178.18,1182.25,1165.84,1172.07
3/17/09,1172.91,1174.44,1159.19,1164.27
3/18/09,1139.98,1175.59,1102.12,1106.72
3/19/09,1162.91,1191.17,1157.82,1188.07
3/20/09,1192.40,1192.40,1184.33,1186.44
3/23/09,1162.94,1165.26,1147.28,1164.65
3/24/09,1135.53,1135.53,1135.53,1135.53
3/25/09,1135.04,1153.89,1134.55,1152.54
3/26/09,1155.72,1159.90,1153.26,1155.72
3/27/09,1146.44,1146.44,1146.44,1146.44
3/30/09,1166.54,1176.51,1146.35,1155.06
3/31/09,1158.21,1166.41,1150.14,1164.02
4/1/09,1157.66,1175.17,1155.51,1167.11
4/2/09,1146.44,1150.65,1106.86,1122.33
4/3/09,1112.40,1119.40,1096.04,1101.33
4/6/09,1108.22,1108.22,1071.20,1079.12
4/7/09,1079.59,1095.06,1079.59,1091.97
4/8/09,1092.71,1099.01,1086.53,1093.70
